concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
RODOVIA DO AÇO;01/01/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35771,00
RODOVIA DO AÇO;01/02/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27109,00
RODOVIA DO AÇO;01/03/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;25667,00
RODOVIA DO AÇO;01/04/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27972,00
RODOVIA DO AÇO;01/05/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27604,00
RODOVIA DO AÇO;01/06/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28437,00
RODOVIA DO AÇO;01/07/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33481,00
RODOVIA DO AÇO;01/08/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;29281,00
RODOVIA DO AÇO;01/09/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30178,00
RODOVIA DO AÇO;01/10/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30401,00
RODOVIA DO AÇO;01/11/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28517,00
RODOVIA DO AÇO;01/12/2010;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;38532,00
RODOVIA DO AÇO;01/01/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;39811,00
RODOVIA DO AÇO;01/02/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;26982,00
RODOVIA DO AÇO;01/03/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30967,00
RODOVIA DO AÇO;01/04/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30329,00
RODOVIA DO AÇO;01/05/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27809,00
RODOVIA DO AÇO;01/06/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28935,00
RODOVIA DO AÇO;01/07/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33706,00
RODOVIA DO AÇO;01/08/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28201,00
RODOVIA DO AÇO;01/09/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28924,00
RODOVIA DO AÇO;01/10/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27571,00
RODOVIA DO AÇO;01/11/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27437,00
RODOVIA DO AÇO;01/12/2011;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;37580,00
RODOVIA DO AÇO;01/01/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28354,00
RODOVIA DO AÇO;01/02/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27122,00
RODOVIA DO AÇO;01/03/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;24879,00
RODOVIA DO AÇO;01/04/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27546,00
RODOVIA DO AÇO;01/05/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;25220,00
RODOVIA DO AÇO;01/06/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;26579,00
RODOVIA DO AÇO;01/07/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32757,00
RODOVIA DO AÇO;01/08/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;26515,00
RODOVIA DO AÇO;01/09/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30208,00
RODOVIA DO AÇO;01/10/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28549,00
RODOVIA DO AÇO;01/11/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;26714,00
RODOVIA DO AÇO;01/12/2012;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35261,00
RODOVIA DO AÇO;01/01/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35814,00
RODOVIA DO AÇO;01/02/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32380,00
RODOVIA DO AÇO;01/03/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32760,00
RODOVIA DO AÇO;01/04/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28549,00
RODOVIA DO AÇO;01/05/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31433,00
RODOVIA DO AÇO;01/06/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31654,00
RODOVIA DO AÇO;01/07/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;37962,00
RODOVIA DO AÇO;01/08/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31544,00
RODOVIA DO AÇO;01/09/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31658,00
RODOVIA DO AÇO;01/10/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31870,00
RODOVIA DO AÇO;01/11/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32495,00
RODOVIA DO AÇO;01/12/2013;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;49902,00
RODOVIA DO AÇO;01/01/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;39446,00
RODOVIA DO AÇO;01/02/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;29476,00
RODOVIA DO AÇO;01/03/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33550,00
RODOVIA DO AÇO;01/04/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35008,00
RODOVIA DO AÇO;01/05/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31242,00
RODOVIA DO AÇO;01/06/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33801,00
RODOVIA DO AÇO;01/07/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31326,00
RODOVIA DO AÇO;01/08/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30448,00
RODOVIA DO AÇO;01/09/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32566,00
RODOVIA DO AÇO;01/10/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33393,00
RODOVIA DO AÇO;01/11/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32285,00
RODOVIA DO AÇO;01/12/2014;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;53201,00
RODOVIA DO AÇO;01/01/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;42183,00
RODOVIA DO AÇO;01/02/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35742,00
RODOVIA DO AÇO;01/03/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32456,00
RODOVIA DO AÇO;01/04/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35773,00
RODOVIA DO AÇO;01/05/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33370,00
RODOVIA DO AÇO;01/06/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33501,00
RODOVIA DO AÇO;01/07/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;41990,00
RODOVIA DO AÇO;01/08/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;34485,00
RODOVIA DO AÇO;01/09/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;34292,00
RODOVIA DO AÇO;01/10/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;35942,00
RODOVIA DO AÇO;01/11/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33112,00
RODOVIA DO AÇO;01/12/2015;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;34025,00
RODOVIA DO AÇO;01/01/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;48399,00
RODOVIA DO AÇO;01/02/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;36038,00
RODOVIA DO AÇO;01/03/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33379,00
RODOVIA DO AÇO;01/04/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31981,00
RODOVIA DO AÇO;01/05/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33275,00
RODOVIA DO AÇO;01/06/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30046,00
RODOVIA DO AÇO;01/07/2016;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;39316,00
